Produkt,Kategori,Total kg CO2e/kg,Landbrug,ILUC,Forarbejdning,Emballage,Transport,Detail
Salt. bordsalt (jodberiget),Smagsgivere og krydderier,0.44,0.00,0.03,0.21,0.20,0.00,0.01
Rabarber,Grøntsager og grøntsagsprodukter,0.33,0.15,0.08,0.00,0.06,0.03,0.01
Bladselleri,Grøntsager og grøntsagsprodukter,0.33,0.15,0.08,0.00,0.06,0.03,0.01
Blomkål,Grøntsager og grøntsagsprodukter,0.56,0.27,0.11,0.00,0.06,0.10,0.01
Broccoli,Grøntsager og grøntsagsprodukter,0.56,0.27,0.11,0.00,0.06,0.10,0.01
Grønkål,Grøntsager og grøntsagsprodukter,0.26,0.10,0.06,0.00,0.06,0.03,0.01
Hvidkål,Grøntsager og grøntsagsprodukter,0.26,0.10,0.06,0.00,0.06,0.03,0.01
Rosenkål,Grøntsager og grøntsagsprodukter,0.26,0.10,0.06,0.00,0.06,0.03,0.01
Rødkål,Grøntsager og grøntsagsprodukter,0.26,0.10,0.06,0.00,0.06,0.03,0.01
Spidskål,Grøntsager og grøntsagsprodukter,0.26,0.10,0.06,0.00,0.06,0.03,0.01
Spinat,Grøntsager og grøntsagsprodukter,0.43,0.21,0.08,0.00,0.06,0.07,0.01
Artiskok,Grøntsager og grøntsagsprodukter,0.84,0.46,0.12,0.00,0.06,0.19,0.01
Asparges. grøn,Grøntsager og grøntsagsprodukter,0.90,0.46,0.26,0.00,0.06,0.11,0.01
Salat. Iceberg,Grøntsager og grøntsagsprodukter,0.41,0.19,0.06,0.00,0.06,0.09,0.01
Salat. egeløv,Grøntsager og grøntsagsprodukter,0.41,0.19,0.06,0.00,0.06,0.09,0.01
Bok choy. pak choi eller pok choi,Grøntsager og grøntsagsprodukter,0.26,0.10,0.06,0.00,0.06,0.03,0.01
Savoykål,Grøntsager og grøntsagsprodukter,0.26,0.10,0.06,0.00,0.06,0.03,0.01
Blomkål. dybfrost,Grøntsager og grøntsagsprodukter,0.73,0.34,0.14,0.02,0.06,0.15,0.02
Porre,Grøntsager og grøntsagsprodukter,0.37,0.17,0.10,0.00,0.06,0.03,0.01
Spinat. hakket. dybfrost,Grøntsager og grøntsagsprodukter,0.58,0.26,0.10,0.02,0.06,0.12,0.02
Broccoli. dybfrost,Grøntsager og grøntsagsprodukter,0.73,0.34,0.14,0.02,0.06,0.15,0.02
Voksbønner,Bælgfrugter og bælgfrugtprodukter,0.90,0.34,0.10,0.00,0.14,0.32,0.01
Grønne ærter,Grøntsager og grøntsagsprodukter,1.19,0.62,0.33,0.00,0.06,0.17,0.01
Grønne linser. tørrede,Bælgfrugter og bælgfrugtprodukter,2.46,1.19,0.87,0.00,0.20,0.19,0.01
Kikærter. tørrede,Bælgfrugter og bælgfrugtprodukter,2.94,1.12,1.36,0.00,0.20,0.25,0.01
Grønne bønner. haricot verts,Grøntsager og grøntsagsprodukter,0.90,0.34,0.10,0.00,0.14,0.32,0.01
Bønnespirer. mung,Grøntsager og grøntsagsprodukter,0.90,0.34,0.10,0.00,0.14,0.32,0.01
Bønnespirer,Grøntsager og grøntsagsprodukter,0.90,0.34,0.10,0.00,0.14,0.32,0.01
Sukkerært (mangetout),Grøntsager og grøntsagsprodukter,1.26,0.62,0.32,0.00,0.14,0.17,0.01
Sojabønner. tørrede,Bælgfrugter og bælgfrugtprodukter,1.57,0.52,0.70,0.00,0.20,0.15,0.01
Grønne ærter. dybfrost,Grøntsager og grøntsagsprodukter,1.52,0.77,0.41,0.02,0.06,0.24,0.02
Mineralvand. danskvand. glasflaske,Drikkevarer,0.19,0.00,0.01,0.02,0.13,0.02,0.01
Mineralvand. sodavand. tilsat sukker. uspec.,Drikkevarer,0.56,0.13,0.02,0.14,0.20,0.07,0.01
Æblemost. plastflaske,Drikkevarer,1.63,0.45,0.08,0.60,0.31,0.18,0.01
Sherry. tør,Vin. øl og spiritus,2.68,0.71,0.22,1.01,0.37,0.36,0.01
Likør. kaffe med fløde,Vin. øl og spiritus,3.29,0.93,0.24,1.37,0.37,0.37,0.01
Margarine. 70 %. bordbrug. blød. vegetabilsk fedt,Planteprodukter og -drikke,2.88,0.00,0.20,2.26,0.24,0.18,0.00
Hornfisk,Fisk og skaldyr,3.44,0.22,0.83,2.22,0.14,0.03,0.00
Laks. atlantisk. vild,Fisk og skaldyr,2.98,0.22,0.86,1.74,0.14,0.03,0.00
Makrel,Fisk og skaldyr,2.89,0.22,0.86,1.64,0.14,0.03,0.00
Rødspætte,Fisk og skaldyr,3.59,0.22,0.83,2.38,0.14,0.03,0.00
Sild,Fisk og skaldyr,3.10,0.22,0.85,1.86,0.14,0.03,0.00
Mørksej,Fisk og skaldyr,3.59,0.22,0.83,2.38,0.14,0.03,0.00
Torsk. filet,Fisk og skaldyr,3.59,0.22,0.83,2.38,0.14,0.03,0.00
Rødspætte. filet. paneret. dybfrost,Fisk og skaldyr,2.83,0.25,0.57,1.69,0.26,0.05,0.02
Sej. filet. dybfrost,Fisk og skaldyr,3.51,0.22,0.84,2.27,0.14,0.03,0.02
Tun,Fisk og skaldyr,3.85,0.22,0.81,2.65,0.14,0.03,0.00
Laks. atlantisk. opdræt. koldrøget,Fisk og skaldyr,3.89,0.27,1.09,2.27,0.14,0.11,0.00
Laks. atlantisk. opdræt. varmrøget,Fisk og skaldyr,4.20,0.27,1.10,2.58,0.14,0.11,0.00
Laks. atlantisk. opdræt,Fisk og skaldyr,2.98,0.22,0.86,1.74,0.14,0.03,0.00
Mayonnaise. fedtreduceret,Smagsgivere og krydderier,1.20,0.10,0.04,0.36,0.64,0.05,0.01
Mayonnaise,Smagsgivere og krydderier,3.48,0.12,0.29,2.04,0.64,0.38,0.01
Remoulade. uspec.,Smagsgivere og krydderier,1.85,0.33,0.23,0.74,0.42,0.13,0.01
